m.title,movieRating,collect(g.name)
Ice Age: The Great Egg-Scapade (2016),5.0,"[Adventure,Animation,Children,Comedy]"
The Love Bug (1997),5.0,"[Adventure,Children,Comedy,Fantasy]"
12 Chairs (1976),5.0,"[Adventure,Comedy]"
Junior and Karlson (1968),5.0,"[Adventure,Animation,Children]"
On the Trail of the Bremen Town Musicians (1973),5.0,"[Adventure,Animation,Children]"
Priklyucheniya Kapitana Vrungelya (1979),5.0,"[Adventure,Animation,Comedy,Action]"
Karlson Returns (1970),5.0,"[Adventure,Animation,Children]"
Dragons: Gift of the Night Fury (2011),5.0,"[Adventure,Animation,Comedy]"
Vovka in the Kingdom of Far Far Away (1965),5.0,"[Adventure,Animation,Children,Fantasy]"
The Fox and the Hound 2 (2006),5.0,"[Adventure,Animation,Children,Comedy]"